Henry,10718.1,8930.6,8695.7,8663.3,8079.8,7797.9,7984,8266.9,8256.1,8129.2,10142,9231.6,9462.1,9603.5,9468.5,10642.1,10048.3,10610.9,10988.9,11082.9,10537.7
Iroquois,9738.8,9094.4,9435.8,9722.5,9203.9,8988.1,9016.2,9829.6,9655.2,10031.8,10288.7,9159.3,11634,10592.8,11840.7,11020.5,13060,13779.9,13709.2,15533.8,13033.6
Jackson,19405.2,18434,19156.2,17655.5,16351.2,17723.4,17093.9,18553.3,17416.8,18033.4,25465.8,22514.5,25832.5,20588.9,25491.1,21976.9,31569.1,27482,27507,28394.5,22098.3
Jasper,11253.6,10160.9,12322.3,13006.6,11115.4,10668.5,9755.4,9825.3,10080.2,9990,10863.2,11767.1,10955.4,10739.8,10957.6,10694.4,10554.4,10701,10399.9,10859.4,11866.3
Jefferson,15773.3,15018.1,16084.1,15032.1,13086.2,13348.8,13314.4,14553.4,13141.2,13338.2,14879.9,14393.7,14937.1,16381.1,18085.7,15975.2,16480.6,14978.1,17256.8,18285.2,15638.9
Jersey,11420.3,9040.7,9861.1,9939.1,8855.4,8765.4,8790.4,9185.9,8171.4,8273,7822.2,8563.5,9151.4,9257.5,9414.6,9597.6,9523,9603.2,10089.2,11098.3,10973.5
Jo Daviess,8062.5,7131.9,7654.3,7907.1,6959.8,7579.8,7809.3,8064.9,7462.2,7718.8,8831.6,8629.8,8370.7,8197.2,10077.1,9241,9619.4,12073.3,10234.9,10568.9,9327.2
Johnson,13810,12322,13982.7,12002.2,10737.2,12106.6,11747.7,12903.5,10455.7,11400.4,12539,14593.8,11874.6,14292.5,14273.2,12379.1,13510.1,12104.1,15725.8,13895.7,12294.3
Kane,8665.6,6708.8,7044.1,6098.1,5896.7,6093.7,6598.5,7328.6,7632.5,8133.7,8501.3,8346,7819.2,8911.9,9316.9,10897.4,12421.1,11761.2,10747.8,10579.6,10715.3
Kankakee,13204.9,11936.5,12567.1,12010,11286.2,11091.9,10543.6,11510.3,11080,11618.5,12518.9,13500.7,12423.4,13105.2,14468.6,14235.6,15786.3,16483.4,15985.8,14066.9,14577.2
Kendall,4046.8,3568.2,4105.5,3594.3,3761.9,3592.4,3704.8,4131.3,4416.9,4455.9,2997.3,3738.2,3510.8,3213.9,3875,4634.7,5117.8,5043,5720.1,5337.5,4823.5
Knox,12629.9,11508.1,11932.7,11476.6,10573.9,10947.8,10940,12151.8,11656.4,12356,13383.7,14360.1,15878.9,14880,11816.3,14208.5,18774.2,13780.3,17999.4,17839.8,15841.4
Lake,6537.8,5167.1,5774,5512.2,5802.1,5550.3,5771.4,6437.5,6940.3,7232.2,7020.3,6055.2,6286,7616.3,7563.9,8736.2,10895.1,9155.8,9193.3,9216.4,8793.6
LaSalle,10098.7,9319.1,9756.1,9543.9,8988.4,8696.2,8901,9753.9,10062.3,9653.5,11365,10894.6,9946,9992.9,12000.1,12792.2,11331.4,13955.3,13389.1,13202,12433.9
Lawrence,14294.6,13227.8,13865.2,13970.5,12479.1,12104.7,11876.1,11978.8,11236.7,11580.7,12791.2,14411.2,12883.4,14496.6,14968.5,14849.8,12227.9,14235.2,15345,15261.2,14880.8
Lee,8643.4,7447.3,8122.1,7748.4,7619.2,7672.1,7900.3,8301.5,8267.3,8674.1,8466.4,9494.5,8944.2,8962.8,9433.8,10100.1,10333.7,11433.9,11301.3,10015.8,11580.5
Livingston,9121.9,8075.9,9010.9,8788.2,8115.9,8201.1,7973.7,8737.6,8960.2,9411.2,8911.5,10141.6,10164.1,10186.6,10098.8,10542.3,10930.9,11413,11379.9,10856.7,11900.4
Logan,10181.7,9470.9,10598.2,9620.2,8441,8985.6,9368.3,9827.4,9005.7,9099.1,9618.4,9737.6,9249.8,10339.9,11627.4,9857,11576.7,12488.8,11565.3,10683.8,11680.3
McDonough,12993.6,12638.9,13776.9,12531.1,12080.9,13510.6,13989.4,15020.4,13223.7,13470.3,17036,18550,19101.5,16927.8,18401.8,19217.1,17784.1,19462.3,18439.2,20542.7,19937.4
McHenry,3931.4,3228.7,3565.7,3509.9,3665.7,3508.1,3537.3,4371.8,4647.9,4800.4,4730.9,5465.9,5429.4,5349.8,6855.3,7240.4,7979.2,7563,7037.5,6803.2,8023.3
McLean,8306.6,7405.7,8179.9,7688.1,7548.9,7613.2,7525.2,8126,8753.8,9391.2,10395.6,10948.6,11507.5,10480.4,13299.6,10989.6,14143.6,13883.7,12945.1,13401,10954.2
Macon,13518.7,12471.8,13574.9,13104.9,12692.2,12173,11737.3,13038.8,13023,13816.2,14512.6,15660.4,15099.6,12807.9,14288.6,17130.3,14326,21100.8,17429.5,15692.7,17505.6
Macoupin,12324.8,11640,11985.8,11417.5,9762.3,9760.7,9688.9,10016.6,10158.1,10470.7,10202.8,11285.7,11652.7,12205.8,11734.2,12713.5,12205.3,13427.8,13575.9,12632.1,13447.7
Madison,12124.6,10675.4,11091.8,10535,9804.1,9614,9186,10021.4,10518.1,11055.2,10671.2,11864.5,11099.5,12285.3,12838.2,14133.8,13811.9,12806,13510,12918.7,12672
Marion,15871,14328.6,15372.5,14574.2,13127,13214.9,13147.2,14715.3,13235.8,13271.5,15715.7,16737,15075.9,14075,18654.5,16094.3,16832.4,17578.3,18716,18158.7,17522.6
Marshall,9351.6,7866,8892.8,9179.7,7631.6,7391.3,7362.4,7883.1,7861.5,8057.2,7983.3,9227.7,7847.4,8526.5,10141.3,11092.6,10465.3,9722.8,9950.6,10446.1,10382.2
Mason,13151.2,12004.4,12511.5,12659,10713.8,10793.1,10589,11200.9,11026.3,11288.4,14207.2,12235.2,12382.3,13387.2,12287.8,14701.3,13533.7,14980.1,13808.4,14491.3,13641.3
