,Crime,Date,Latitude,Longitude
115,THEFT,2020-04-03T20:00:00.000,41.954323081,-87.666436795
116,CRIMINAL DAMAGE,2020-04-03T20:00:00.000,41.810505195,-87.64315988799999
117,THEFT,2020-04-03T20:00:00.000,41.727877692,-87.64096407
118,BATTERY,2020-04-03T19:43:00.000,41.878584019,-87.74614730799999
119,BATTERY,2020-04-03T19:35:00.000,41.965393249,-87.65799298399999
120,CRIMINAL DAMAGE,2020-04-03T19:35:00.000,41.773136599000004,-87.69445914299999
121,CRIMINAL DAMAGE,2020-04-03T19:30:00.000,41.851761264000004,-87.705602716
122,THEFT,2020-04-03T19:30:00.000,41.978991238,-87.65994197200001
123,CRIMINAL DAMAGE,2020-04-03T19:30:00.000,41.844205755,-87.727994095
124,MOTOR VEHICLE THEFT,2020-04-03T19:30:00.000,41.708496819000004,-87.61014136799999
125,CRIMINAL DAMAGE,2020-04-03T19:30:00.000,41.844227555,-87.726404761
126,THEFT,2020-04-03T19:30:00.000,41.700355114000004,-87.531656916
127,HOMICIDE,2020-04-03T19:26:00.000,41.769728942,-87.583349993
128,CRIMINAL DAMAGE,2020-04-03T19:25:00.000,41.80517038,-87.61804866799999
129,BATTERY,2020-04-03T19:25:00.000,41.862868089,-87.71383851700001
130,BATTERY,2020-04-03T19:20:00.000,41.760906284,-87.640649452
131,OTHER OFFENSE,2020-04-03T19:20:00.000,41.693960671,-87.62165846799999
132,WEAPONS VIOLATION,2020-04-03T19:16:00.000,41.877446676,-87.69500021200001
133,CRIMINAL DAMAGE,2020-04-03T19:15:00.000,41.792194049,-87.62402358899999
134,BATTERY,2020-04-03T19:15:00.000,41.747942459,-87.65124378
135,ASSAULT,2020-04-03T19:14:00.000,41.781598476,-87.610831124
136,THEFT,2020-04-03T19:12:00.000,41.94662937,-87.70807680200001
137,MOTOR VEHICLE THEFT,2020-04-03T19:00:00.000,41.741950796,-87.577015476
138,THEFT,2020-04-03T19:00:00.000,41.775493298,-87.649533153
